"doc_path","document_class","materialization_decision","decision_rationale","disposition","standard_ids","semantic_owner_node_ids","materialized_target_node_ids","rollup_not_applicable_node_ids","materialized_rule_ids","rollup_not_applicable_rule_ids","human_decision"
"docs/PENDING-HUMAN-FIXES-2026-07-01.md","catalog-reference","reference-only","Bekleyen İnsan-Düzeltmeleri — 2026-07-01: katalog veya rehber bağlamıdır; görev içeriği yerine izlenebilir referans kalır.","task-ref","","std-docs","","","","","no"
"docs/README.md","catalog-reference","reference-only","actionplan — Doküman Dizini: katalog veya rehber bağlamıdır; görev içeriği yerine izlenebilir referans kalır.","task-ref","","std-docs","","","","","no"
"docs/actor-party-contract.md","directive-contract","task-materialize","Korunan k-party motoru yeniden uygulanmaz; PartyRef, temporal RoleBinding, tenant izolasyonu ve onaylı rol değişimi gerçek domain consumer görevlerine özgü yükümlülüklere dönüştürülür.","standard-ref+task-materialized+task-rollup-n-a+task-ref","identity-data","k-party","customer|s-ats|s-clm|s-hrms|s-marketplace|s-pim|s-procurement|s-sales","cc-identity-models","actor-party-runtime-contract","actor-party-runtime-contract","no"
"docs/adr-0026-tech-profiles.md","engineering-standard","reference-only","ADR-0026 — Tech Profilleri: Frontend Stack'in Makine-Okunur, Şema-Bağ…: standardRefs/applicability hattından yönetilir; standard prose'u göreve kopyalanmaz.","task-ref","","fe-eng-standards","","","","","no"
"docs/adr-0027-engineering-standards.md","engineering-standard","task-materialize","ADR-0027 — Mühendislik Standardı İşletim Katmanı: Sözleşme + Referans…: standard prose'u kopyalanmadan etkin rule'un görev-özgü kontrollerine kaynak olur.","standard-ref+task-materialized+task-ref","a11y|ai-governance|architecture|authz-rbac-abac|c12n|c13n|coding-standards|data-api-contract|data-normalization|decision-grade-data|dependency-policy|design-system|edge-security|finance-money-model|g11n|global-market-readiness|i14y|i18n-standards|iac|identity-data|mfa|observability|oidc|p13n|quality-gates|release-versioning|search-quality|short-code|sso|state-management|testing-strategy|ui-components|ux-interaction","fe-eng-standards|golden-slice-ref|std-ci-gates|std-contracts|std-docs|std-schema-foundation|std-ui-surfacing","golden-slice-ref|std-ci-gates|std-contracts|std-schema-foundation|std-ui-surfacing","","standards-operating-layer","","no"
"docs/adr-0028-olculu-kisa-taslak.md","directive-contract","reference-only","ADR-0028 (TASLAK) — ""Ölçülü-Kısa"" Madde Muafiyeti: sözleşme bağlamı sunar; etkin rule seçimi olmadan görev prose'una kopyalanmaz.","task-ref","","app-kararlar","","","","","no"
"docs/adr-0030-commerce-operating-system-boundary.md","directive-contract","task-materialize","Commerce OS ürün-ailesi sınırı, bağımsızlık ve non-goal hükümleri ilgili executable commerce görevlerinin kapsam, test ve release sözleşmelerine source-specific olarak uygulanır.","task-materialized+task-ref+catalog","","std-contracts","s-billing|s-commerce|s-cpq|s-marketplace|s-pim","","commerce-os-product-family-boundary-disposition","","no"
"docs/adr-0031-commerce-os-vibecoder-handoff-decisions.md","handoff-agent-pack","task-materialize","D7–D13 DAG, saga, resilience, key, high-risk AI ve pilot-envelope kararları ilgili Commerce OS executable görevlerinin prompt ve faz kapılarına parçalanarak uygulanır.","task-materialized+task-rollup-n-a+task-ref+catalog","","std-contracts","cc-privacy|platform-migration-contract|s-ai-governance|s-commerce|s-inventory|s-marketplace|s-payment-methods|s-pim|s-sales|scale-idempotency|scale-invariant|scale-multiregion|scale-outbox|sdk-public-contract","cc-obs|l1-export","commerce-os-contract-package-dag|commerce-os-export-resilience-key-authorities|commerce-os-high-risk-ai-human-gate|commerce-os-order-saga-single-writer|commerce-os-pilot-validation-envelope|commerce-os-provisional-bc-disposition-gate","commerce-os-export-resilience-key-authorities|commerce-os-pilot-validation-envelope","no"
"docs/adr-0032-enterprise-sdk-app-identity.md","directive-contract","reference-only","App kimliği kararı generic alt-görev prose materializer ile değil, app-catalog registry ve typed app/module contract materializer üzerinden doğrulanmış current-live JSON evrenine uygulanır.","standard-ref+decision-ref","enterprise-delivery|sdk-development","","","","","","no"
"docs/adr-A1-actor-party.md","directive-contract","reference-only","ADR-A1 — Actor / Party: Polimorfik Aktör Primitifi: sözleşme bağlamı sunar; etkin rule seçimi olmadan görev prose'una kopyalanmaz.","task-ref","","k-actor|k-party","","","","","no"
